20 Mar 2023 - 15:07:46.207 [restartedMain] INFO  c.p.PetShopManagementSystemApplication - Starting PetShopManagementSystemApplication using Java 17.0.4.1 with PID 11352 (C:\Users\Prathmesh\Documents\workspace-spring-tool-suite-4-4.16.1.RELEASE\Pet-Shop-Management-System\target\classes started by Prathmesh in C:\Users\Prathmesh\Documents\workspace-spring-tool-suite-4-4.16.1.RELEASE\Pet-Shop-Management-System)
20 Mar 2023 - 15:07:46.256 [restartedMain] INFO  c.p.PetShopManagementSystemApplication - No active profile set, falling back to 1 default profile: "default"
20 Mar 2023 - 15:07:46.411 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
20 Mar 2023 - 15:07:46.412 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
20 Mar 2023 - 15:07:48.132 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
20 Mar 2023 - 15:07:48.301 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 144 ms. Found 4 JPA repository interfaces.
20 Mar 2023 - 15:07:49.517 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
20 Mar 2023 - 15:07:49.546 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
20 Mar 2023 - 15:07:49.548 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.5]
20 Mar 2023 - 15:07:49.909 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
20 Mar 2023 - 15:07:49.911 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3496 ms
